Method,Hmean,Valid Ratio
combination,0.8995738670023782,0.7291666666666666
default,0.9523901247177047,0.925531914893617
default_new,0.9323062111158821,0.8969072164948454
default_rotation_fix,0.9671567864950432,0.9278350515463918
fft,0.6727578477667412,0.06818181818181818
filter_black,0.7337239208442768,0.30337078651685395
naive_adaptive,0.9138875865712818,0.6914893617021277
naive_rotation_fix,0.9068740183135464,0.7083333333333334
niblack_sauvola,0.9407488888774961,0.8125
no_preprocessing,0.6044933606632454,0.3111111111111111
